Degree,Features,9-fold Loss
1,"['Max', 'Skewness', 'CoefficientOfVariation']",0.16849151048653943
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.1686784265840441
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.16874129741938795
1,"['Max', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.16875613699658076
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.16879600644622525
1,"['Percentile10', 'Max', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.1690105709668014
1,"['Range', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.1690537247091196
1,"['Max', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.16905417378221832
1,"['Max', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.16905521287673636
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'Min', 'CoefficientOfVariation', 'IntensityEnergy']",0.16909242662519924
1,"['Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation', 'IntensityEnergy']",0.1691460449535904
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'CoefficientOfVariation']",0.16915761239202193
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'Min', 'CoefficientOfVariation']",0.16916194318130182
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'Min', 'CoefficientOfVariation']",0.16916422696049174
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range']",0.16927950119157495
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Min']",0.16927972698719773
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Min']",0.16927985843622534
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'PearsonsMedianSkewness']",0.16939168685792239
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'Min', 'CoefficientOfVariation']",0.16953108860528043
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness']",0.16979212995686344
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'Min', 'CoefficientOfVariation', 'IntensityEnergy']",0.1698036280911165
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.16990125967075048
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'ExcessKurtosis', 'Min', 'CoefficientOfVariation']",0.16998860835170632
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness']",0.16999771043316297
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'Min']",0.17000447320662324
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'Min']",0.17000702606378187
1,"['Max', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.17001502555267559
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.17008428096158146
1,"['Percentile10', 'Max', 'Skewness', 'CoefficientOfVariation']",0.1701758173284405
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.17053613058122657
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.17057931210737218
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness']",0.17059421351677337
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'Min']",0.17062544701866605
1,"['Max', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.17063016144164733
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'PearsonsMedianSkewness']",0.17073747876102896
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17091725464908547
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17092822824509443
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17093186105977634
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'CoefficientOfVariation']",0.1710386715563933
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17113923400767134
1,"['Percentile10', 'Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness']",0.17119275229174036
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.17123030135499573
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness']",0.17132666156217108
1,"['Percentile10', 'Range', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness']",0.17135125996935194
1,"['Range', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17137184137824218
1,"['Max', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.1713730375151099
1,"['Max', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17137465399128
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.17143845882014738
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.17145356040395449
1,"['Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.17145877230312723
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.17146046780576102
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'CoefficientOfVariation']",0.17146864977094342
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17172671284150903
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'CoefficientOfVariation']",0.17176210957089044
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'CoefficientOfVariation']",0.17176381761215653
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.17181497758314224
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.17182315791557523
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.17182620673848553
1,"['Percentile10', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17184457832453728
1,"['Max', 'Range', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness']",0.17185550499030466
1,"['Range', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.1718572958266664
1,"['Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.17185737104993543
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17187045820480173
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness']",0.171933047461035
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Min', 'IntensityEnergy']",0.17200835473265694
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Min', 'IntensityEnergy']",0.17200955767119025
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'IntensityEnergy']",0.17201127266973723
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.1720829980784073
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17220918238910973
1,"['Skewness', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17227662776676952
1,"['Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'CoefficientOfVariation', 'IntensityEnergy']",0.17252444324511979
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'Min', 'CoefficientOfVariation']",0.1726671482406374
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17276477411734206
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.17294695994626105
1,"['Max', 'Range', 'Skewness', 'CoefficientOfVariation']",0.17302053339715795
1,"['Max', 'Skewness', 'Min', 'CoefficientOfVariation']",0.173021835401738
1,"['Range', 'Skewness', 'Min', 'CoefficientOfVariation']",0.17302280602578118
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'IntensityEnergy']",0.17302355593954996
1,"['Max', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17317211901594043
